Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
Wallace & Gromit in Project Zoo,XB,2003.0,Platform,BAM! Entertainment,20.0,10.0,0.0,0.0,30.0
Backyard NFL Football,GC,2002.0,Sports,Infogrames,200.0,50.0,0.0,10.0,260.0
The Mummy,GBA,2002.0,Action,Ubisoft,10.0,0.0,0.0,0.0,10.0
NHL Hitz 20-03,PS2,2002.0,Sports,Midway Games,140.0,110.0,0.0,40.0,290.0
Middle-Earth: Shadow of Mordor,XOne,2014.0,Action,Warner Bros. Interactive Entertainment,720.0,500.0,10.0,100.0,1330.0
The Land Before Time: Great Valley Racing Adventure,PS,2001.0,Racing,TDK Mediactive,50.0,40.0,0.0,10.0,100.0
Battlefield: Hardline,PC,2015.0,Shooter,Electronic Arts,0.0,130.0,0.0,10.0,140.0
Army Men: Green Rogue,PS2,2001.0,Action,3DO,60.0,50.0,0.0,20.0,130.0
Disruptor,PS,1995.0,Shooter,Interplay,70.0,50.0,0.0,10.0,130.0
Ketsui Death Label,DS,2008.0,Shooter,Arika,0.0,0.0,20.0,0.0,20.0
Happiness! De-Lucks,PS2,2007.0,Adventure,Marvelous Interactive,0.0,0.0,20.0,0.0,20.0
Chessmaster: The Art of Learning,PSP,2008.0,Misc,Ubisoft,110.0,0.0,0.0,10.0,120.0
Real Rode,PS2,2008.0,Adventure,Kadokawa Shoten,0.0,0.0,10.0,0.0,10.0
Just Dance: Disney Party 2,WiiU,2015.0,Action,Ubisoft,60.0,10.0,0.0,10.0,80.0
The King of Fighters '94 (CD),NG,1993.0,Fighting,SNK,0.0,0.0,140.0,0.0,140.0
TERA,PC,2011.0,Role-Playing,Unknown,240.0,120.0,0.0,50.0,410.0
Galaxy Angel II: Mugen Kairou no Kagi,PS2,2007.0,Strategy,Broccoli,0.0,0.0,30.0,0.0,30.0
Brunswick Pro Bowling,PSP,2007.0,Sports,505 Games,190.0,0.0,0.0,20.0,210.0
Curious George,PS2,2006.0,Action,Namco Bandai Games,60.0,50.0,0.0,20.0,130.0
Forza Horizon 2,XOne,2014.0,Racing,Microsoft Game Studios,500.0,780.0,10.0,90.0,1380.0
Final Fantasy III,DS,2006.0,Role-Playing,Square Enix,910.0,50.0,1070.0,90.0,2120.0
Sphinx and the Cursed Mummy,XB,2003.0,Action,THQ,90.0,20.0,0.0,0.0,110.0
Professional Fisherman's Tour: Northern Hemisphere,DS,2007.0,Sports,505 Games,160.0,0.0,0.0,10.0,170.0
The Revenge of Shinobi,GBA,2002.0,Platform,Atari,70.0,20.0,0.0,0.0,90.0
Let's Draw!,DS,2008.0,Misc,Ubisoft,240.0,230.0,0.0,60.0,530.0
Sorcery Saga: The Curse of the Great Curry God,PSV,2013.0,Role-Playing,Rising Star Games,0.0,0.0,30.0,0.0,30.0
Triple Play 2001,PS,2000.0,Sports,Electronic Arts,740.0,500.0,0.0,90.0,1330.0
Madden NFL Football,3DS,2011.0,Sports,Electronic Arts,360.0,10.0,0.0,30.0,400.0
Hot Wheels: Beat That!,X360,2007.0,Racing,Activision,150.0,0.0,0.0,10.0,160.0
Clever Kids: Creepy Crawlies,DS,2009.0,Action,Midas Interactive Entertainment,0.0,40.0,0.0,0.0,40.0
Wakeboarding Unleashed Featuring Shaun Murray,PS2,2003.0,Sports,Activision,80.0,60.0,0.0,20.0,160.0
Super Ghouls 'n Ghosts,SNES,1991.0,Platform,Capcom,500.0,140.0,520.0,20.0,1180.0
Jikkyou Powerful Pro Yakyuu 2012,PS3,2012.0,Action,Konami Digital Entertainment,0.0,0.0,210.0,0.0,210.0
The Eye of Judgment,PS3,2007.0,Misc,Sony Computer Entertainment,280.0,0.0,20.0,30.0,330.0
Pro Yakyuu Netsu Star 2006,PS2,2006.0,Sports,Namco Bandai Games,0.0,0.0,140.0,0.0,140.0
Club Penguin: Elite Penguin Force - Herbert's Revenge,DS,2010.0,Adventure,Disney Interactive Studios,400.0,220.0,0.0,60.0,680.0
Super Bust-A-Move,GBA,2001.0,Puzzle,Ubisoft,30.0,10.0,0.0,0.0,40.0
History Civil War: Secret Missions,X360,2008.0,Shooter,Activision,120.0,0.0,0.0,10.0,130.0
WWE Crush Hour,PS2,2003.0,Racing,THQ,170.0,130.0,0.0,40.0,340.0
NatGeo Challenge! Wild Life,X360,2010.0,Misc,Black Bean Games,0.0,20.0,0.0,0.0,20.0
The King of Fighters XI,PS2,2006.0,Fighting,Ignition Entertainment,70.0,60.0,40.0,20.0,190.0
Army Men: Sarge's Heroes 2,PS,2000.0,Shooter,3DO,140.0,90.0,0.0,20.0,250.0
Grand Theft Auto: San Andreas,X360,2008.0,Action,Take-Two Interactive,80.0,30.0,0.0,10.0,120.0
Norn9: Norn + Nonette,PSP,2013.0,Adventure,Idea Factory,0.0,0.0,40.0,0.0,40.0
Rampage World Tour,N64,1998.0,Action,GT Interactive,360.0,80.0,0.0,10.0,450.0
Marvel Trading Card Game,DS,2007.0,Misc,Konami Digital Entertainment,110.0,0.0,0.0,10.0,120.0
Dance Dance Revolution 3rdMix,PS,2000.0,Simulation,Konami Digital Entertainment,0.0,0.0,330.0,20.0,350.0
Shakugan no Shana,PS2,2006.0,Adventure,Media Works,0.0,0.0,30.0,0.0,30.0
Spider-Man,N64,2000.0,Action,Activision,430.0,90.0,0.0,10.0,530.0
Homeworld Remastered Collection,PC,2015.0,Strategy,Unknown,0.0,10.0,0.0,0.0,10.0
Major Dream: Major Wii Nagero! Gyroball!!,Wii,2008.0,Sports,Takara Tomy,0.0,0.0,10.0,0.0,10.0
Resistance Dual Pack,PS3,2011.0,Shooter,Sony Computer Entertainment,0.0,10.0,0.0,0.0,10.0
UFC Undisputed 2010,PS3,2010.0,Fighting,THQ,800.0,410.0,20.0,190.0,1420.0
Codename: Panzers Complete Collection,PC,2016.0,Strategy,Nordic Games,0.0,10.0,0.0,0.0,10.0
Mario & Luigi: Superstar Saga,GBA,2003.0,Role-Playing,Nintendo,1480.0,170.0,470.0,60.0,2180.0
IL-2 Sturmovik: Cliffs of Dover,PC,2011.0,Simulation,Ubisoft,0.0,40.0,0.0,10.0,50.0
Puzzle Chronicles,PSP,2010.0,Puzzle,Konami Digital Entertainment,70.0,0.0,0.0,10.0,80.0
NCAA Basketball 09,X360,2008.0,Sports,Electronic Arts,200.0,0.0,0.0,20.0,220.0
Scooby-Doo and the Cyber Chase,GBA,2001.0,Adventure,Ubisoft,300.0,110.0,0.0,10.0,420.0
Steins;Gate: Senkei Kousoku no Phonogram,PS3,2013.0,Adventure,5pb,0.0,0.0,60.0,0.0,60.0
Cabela's Big Game Hunter,PS2,2002.0,Sports,Activision,700.0,540.0,0.0,180.0,1420.0
Flipper Critters,DS,2007.0,Simulation,Conspiracy Entertainment,30.0,0.0,0.0,0.0,30.0
Galactic Attack,SAT,1994.0,Shooter,Acclaim Entertainment,0.0,0.0,250.0,0.0,250.0
The Elder Scrolls III: Morrowind,XB,2002.0,Role-Playing,Ubisoft,2090.0,630.0,30.0,110.0,2860.0
PANGYA: Fantasy Golf,PSP,2009.0,Sports,Takara Tomy,90.0,0.0,40.0,10.0,140.0
Mortal Kombat: Deception,PS2,2004.0,Fighting,Midway Games,920.0,720.0,0.0,240.0,1880.0
Disney Infinity 3.0,PS4,2015.0,Action,Disney Interactive Studios,210.0,360.0,0.0,110.0,680.0
World Series of Poker: Tournament of Champions 2007 Edition,Wii,2006.0,Misc,Activision,40.0,0.0,0.0,0.0,40.0
Starry ? Sky: In Summer,PSP,2010.0,Misc,Asgard,0.0,0.0,60.0,0.0,60.0
Metroid Prime,GC,2002.0,Shooter,Nintendo,1960.0,670.0,100.0,90.0,2820.0
Tiger Woods PGA Tour 07,PSP,2006.0,Sports,Electronic Arts,200.0,40.0,0.0,40.0,280.0
Mystery P.I. - Portrait of a Thief,DS,2008.0,Adventure,Unknown,110.0,0.0,0.0,10.0,120.0
RoboCop,XB,2003.0,Shooter,Titus,10.0,0.0,0.0,0.0,10.0
Pong: The Next Level,PS,1998.0,Puzzle,Hasbro Interactive,560.0,380.0,0.0,70.0,1010.0
Dragon Tales: Dragon Seek,PS,2000.0,Platform,Ubisoft,50.0,30.0,0.0,10.0,90.0
Shin Sangoku Musou Online: Souten Ranbu,PS3,2010.0,Action,Tecmo Koei,0.0,0.0,20.0,0.0,20.0
WWE SmackDown vs. RAW 2007,PS2,2006.0,Fighting,THQ,1400.0,880.0,30.0,260.0,2570.0
Heroes over Europe,X360,2009.0,Simulation,Ubisoft,100.0,30.0,0.0,10.0,140.0
The Da Vinci Code,XB,2006.0,Action,Take-Two Interactive,30.0,10.0,0.0,0.0,40.0
Otogi 2: Immortal Warriors,XB,2003.0,Action,Sega,40.0,10.0,0.0,0.0,50.0
Cocoto Kart Racer,Wii,2008.0,Racing,Conspiracy Entertainment,60.0,0.0,0.0,0.0,60.0
Dragon Ball: Raging Blast 2,X360,2010.0,Fighting,Namco Bandai Games,490.0,90.0,10.0,50.0,640.0
CSI: Deadly Intent - The Hidden Cases,DS,2009.0,Adventure,Ubisoft,160.0,160.0,0.0,40.0,360.0
Saint Seiya Omega: Ultimate Cosmo,PSP,2012.0,Fighting,Namco Bandai Games,0.0,0.0,10.0,0.0,10.0
The Ultimate Battle of the Sexes,Wii,2010.0,Misc,DTP Entertainment,10.0,10.0,0.0,0.0,20.0
LEGO Jurassic World,PC,2015.0,Action,Warner Bros. Interactive Entertainment,0.0,40.0,0.0,0.0,40.0
Scrabble,PSP,2009.0,Misc,Electronic Arts,80.0,0.0,0.0,10.0,90.0
Jikkyou Powerful Pro Yakyuu 9,PS2,2002.0,Sports,Konami Digital Entertainment,0.0,0.0,440.0,0.0,440.0
Evangelion: Jo,PSP,2009.0,Action,Namco Bandai Games,0.0,0.0,60.0,0.0,60.0
Ridge Racer,PSV,2011.0,Racing,Namco Bandai Games,40.0,80.0,50.0,30.0,200.0
Bully: Scholarship Edition,X360,2008.0,Action,Take-Two Interactive,530.0,400.0,30.0,110.0,1070.0
Mirror's Edge,X360,2008.0,Platform,Electronic Arts,510.0,510.0,10.0,130.0,1160.0
Happy Feet,GC,2006.0,Action,Midway Games,200.0,50.0,0.0,10.0,260.0
Dream C Club: GoGo,PS3,2014.0,Adventure,D3Publisher,0.0,0.0,20.0,0.0,20.0
Dragon Ball GT: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,Unknown,120.0,50.0,0.0,0.0,170.0
Empire Earth,PC,2001.0,Strategy,Vivendi Games,0.0,40.0,0.0,10.0,50.0
Gundam Battle Online,DC,2001.0,Action,Namco Bandai Games,0.0,0.0,40.0,0.0,40.0
MotoGP,Wii,2009.0,Racing,Capcom,50.0,110.0,0.0,20.0,180.0
EarthBound,SNES,1994.0,Role-Playing,Nintendo,0.0,0.0,810.0,0.0,810.0
Tropico 5,PS4,2015.0,Simulation,Kalypso Media,50.0,160.0,50.0,40.0,300.0
Kaite Shabette Hajimeyou! Monster Farm DS,DS,2007.0,Role-Playing,Tecmo Koei,0.0,0.0,60.0,0.0,60.0
Prince of Persia: The Sands of Time,PS2,2003.0,Action,Ubisoft,880.0,1030.0,0.0,310.0,2220.0
Pocky & Rocky with Becky,GBA,2001.0,Shooter,Altron,50.0,20.0,0.0,0.0,70.0
Tom Clancy's Rainbow Six: Siege,PC,2015.0,Shooter,Ubisoft,120.0,80.0,0.0,20.0,220.0
Ryse: Son of Rome,XOne,2013.0,Action,Microsoft Game Studios,820.0,420.0,0.0,110.0,1350.0
Shrek: Hassle at the Castle,GBA,2002.0,Action,TDK Mediactive,470.0,170.0,0.0,10.0,650.0
Dragon Ball Z: The Legacy of Goku,GBA,2002.0,Role-Playing,Infogrames,1520.0,120.0,0.0,50.0,1690.0
Wave Race 64,N64,1996.0,Racing,Nintendo,1980.0,580.0,340.0,40.0,2940.0
Tales of Vesperia,X360,2008.0,Role-Playing,Atari,320.0,180.0,190.0,50.0,740.0
Self-Defense Training Camp,X360,2011.0,Sports,Ubisoft,80.0,30.0,0.0,10.0,120.0
The Crew,PS4,2014.0,Racing,Ubisoft,340.0,1080.0,30.0,260.0,1710.0
Moe Star: Moeru Toudai Eigojuku,DS,2008.0,Misc,Mirai Shounen,0.0,0.0,20.0,0.0,20.0
Incredible Crisis,PS,1999.0,Action,Titus,40.0,30.0,0.0,10.0,80.0
The Last Airbender,DS,2010.0,Action,THQ,130.0,40.0,0.0,10.0,180.0
Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013.0,Fighting,Namco Bandai Games,320.0,330.0,150.0,150.0,950.0
Petz Dogz Fashion,DS,2008.0,Simulation,Ubisoft,460.0,300.0,0.0,90.0,850.0
Hang On GP,SAT,1995.0,Racing,Sega,0.0,0.0,70.0,0.0,70.0
Iron Storm,SAT,1995.0,Shooter,Sega,0.0,0.0,340.0,0.0,340.0
X-Men: The Official Game,XB,2006.0,Action,Activision,80.0,20.0,0.0,0.0,100.0
Gyakuten Saiban 2,GBA,2002.0,Action,Capcom,0.0,0.0,140.0,0.0,140.0
FIFA Soccer 07,PSP,2006.0,Sports,Electronic Arts,240.0,650.0,0.0,320.0,1210.0
The Adventures of Lomax,PS,1996.0,Platform,Psygnosis,10.0,10.0,0.0,0.0,20.0
Connect Four / Perfection / Trouble,GBA,2005.0,Misc,Zoo Digital Publishing,190.0,70.0,0.0,0.0,260.0
Pro Evolution Soccer 2008 (JP sales),DS,2007.0,Sports,Konami Digital Entertainment,0.0,0.0,80.0,0.0,80.0
SplashDown: Rides Gone Wild,PS2,2003.0,Racing,THQ,240.0,190.0,0.0,60.0,490.0
Finding Nemo,XB,2003.0,Action,THQ,480.0,160.0,0.0,20.0,660.0
Gex 3: Deep Cover Gecko,PS,1999.0,Platform,Eidos Interactive,300.0,200.0,0.0,30.0,530.0
Violet no Atelier: Gramnad no Renkinjutsushi 2 - Gunjou no Omoide,PSP,2011.0,Role-Playing,Gust,0.0,0.0,20.0,0.0,20.0
Go Go Ackman 3,SNES,1995.0,Platform,Banpresto,0.0,0.0,40.0,0.0,40.0
Jillian Michaels Fitness Ultimatum 2011,Wii,2010.0,Sports,D3Publisher,160.0,0.0,0.0,10.0,170.0
TransFormers Animated: The Game,DS,2008.0,Action,Activision,150.0,10.0,0.0,10.0,170.0
Farming Simulator 2014,PSV,2014.0,Simulation,Focus Home Interactive,10.0,0.0,0.0,0.0,10.0
Sonic & All-Stars Racing Transformed,PC,2013.0,Racing,Sega,0.0,10.0,0.0,0.0,10.0
Animal Planet: Vet Life,DS,2009.0,Simulation,Activision,100.0,0.0,0.0,10.0,110.0
Kung Fu Panda 2,PS3,2011.0,Action,THQ,40.0,40.0,0.0,20.0,100.0
Conflict: Global Terror,PS2,2005.0,Shooter,Eidos Interactive,90.0,70.0,0.0,20.0,180.0
Allied General,PS,1996.0,Strategy,SSI,110.0,70.0,0.0,10.0,190.0
Jampack Volume 13 (RP-M),PS2,2005.0,Misc,Sony Computer Entertainment,370.0,10.0,0.0,60.0,440.0
Battle Arena Toshinden 2,PS,1995.0,Fighting,Sony Computer Entertainment,150.0,100.0,410.0,50.0,710.0
Last Ranker,PSP,2010.0,Role-Playing,Capcom,0.0,0.0,130.0,0.0,130.0
NBA Live 10,X360,2009.0,Sports,Electronic Arts,400.0,20.0,0.0,30.0,450.0
Worldwide Soccer Manager 2009,PC,2008.0,Simulation,Sega,0.0,1140.0,0.0,10.0,1150.0
Marvel: Ultimate Alliance 2,Wii,2009.0,Role-Playing,Activision,260.0,50.0,0.0,30.0,340.0
Soccer,NES,1985.0,Sports,Nintendo,180.0,230.0,1530.0,20.0,1960.0
Prince of Persia: The Two Thrones,PS2,2005.0,Action,Ubisoft,570.0,20.0,0.0,90.0,680.0
Mobile Suit Gundam Side Story II: Aoi o Uketsugu Mono,SAT,1996.0,Shooter,Namco Bandai Games,0.0,0.0,200.0,0.0,200.0
Xena: Warrior Princess - The Talisman of Fate,N64,1999.0,Fighting,Titus,230.0,60.0,0.0,0.0,290.0
Armored Core 3,PS2,2002.0,Simulation,Metro 3D,220.0,170.0,230.0,60.0,680.0
Hatsune Miku: Project Diva X,PS4,2016.0,Misc,Sega,10.0,0.0,20.0,0.0,30.0
Space Invaders Extreme,PSP,2008.0,Shooter,Square Enix,60.0,10.0,10.0,10.0,90.0
Nintendogs + cats,3DS,2011.0,Simulation,Nintendo,1440.0,1370.0,730.0,270.0,3810.0
Metal Gear Solid: The Essential Collection (JP sales),PS2,2007.0,Adventure,Konami Digital Entertainment,0.0,0.0,30.0,0.0,30.0
Demon Gaze,PSV,2013.0,Role-Playing,Nippon Ichi Software,60.0,30.0,80.0,20.0,190.0
LEGO Marvel Super Heroes,WiiU,2013.0,Action,Warner Bros. Interactive Entertainment,310.0,350.0,20.0,60.0,740.0
All Japan Pro Wrestling featuring Virtua,SAT,1997.0,Fighting,Sega,0.0,0.0,150.0,0.0,150.0
Star Fox: Zero,WiiU,2016.0,Shooter,Nintendo,160.0,100.0,70.0,30.0,360.0
Disney's Chicken Little: Ace In Action,DS,2006.0,Shooter,Disney Interactive Studios,60.0,0.0,0.0,0.0,60.0
Archer Maclean's Mercury,PSP,2005.0,Puzzle,Ignition Entertainment,170.0,240.0,0.0,140.0,550.0
The Secret Saturdays: Beasts of the 5th Sun,PS2,2009.0,Action,D3Publisher,50.0,20.0,0.0,80.0,150.0
Cossacks: European Wars,PC,2001.0,Strategy,Strategy First,0.0,20.0,0.0,0.0,20.0
Itoi Shigesato no Bass Tsuri No. 1,SNES,1997.0,Sports,Nintendo,0.0,0.0,170.0,0.0,170.0
CSI: Deadly Intent,Wii,2009.0,Adventure,Ubisoft,130.0,130.0,0.0,30.0,290.0
Star Wars Battlefront: Renegade Squadron,PSP,2007.0,Shooter,LucasArts,900.0,470.0,0.0,320.0,1690.0
TNA iMPACT: Cross the Line,DS,2010.0,Fighting,SouthPeak Games,50.0,0.0,0.0,0.0,50.0
Cabela's Big Game Hunter 2005 Adventures,GBA,2004.0,Sports,Activision,40.0,10.0,0.0,0.0,50.0
Hyperdevotion Noire: Goddess Black Heart,PSV,2014.0,Role-Playing,Idea Factory,80.0,20.0,60.0,30.0,190.0
The Voice,X360,2014.0,Action,Activision,70.0,0.0,0.0,10.0,80.0
MySims SkyHeroes,PS3,2010.0,Action,Electronic Arts,80.0,20.0,0.0,10.0,110.0
Terraria,X360,2013.0,Action,505 Games,350.0,310.0,0.0,60.0,720.0
The Darkness II,PS3,2012.0,Shooter,Take-Two Interactive,140.0,140.0,0.0,50.0,330.0
Guitar Hero: On Tour Decades,DS,2008.0,Misc,Activision,850.0,580.0,0.0,160.0,1590.0
Frantix,PSP,2005.0,Puzzle,Ubisoft,80.0,0.0,0.0,10.0,90.0
Astro Boy: The Video Game,PS2,2009.0,Action,D3Publisher,50.0,40.0,0.0,10.0,100.0
Operation Flashpoint: Dragon Rising,X360,2009.0,Shooter,Codemasters,360.0,450.0,20.0,100.0,930.0
Need for Speed Carbon,PS2,2006.0,Racing,Electronic Arts,1220.0,50.0,50.0,10.0,1330.0
Borderlands,X360,2009.0,Shooter,Take-Two Interactive,2390.0,730.0,30.0,290.0,3440.0
TimeSplitters 2,GC,2002.0,Shooter,Eidos Interactive,340.0,90.0,0.0,10.0,440.0
Fight Night Round 3,XB,2006.0,Fighting,Electronic Arts,260.0,60.0,0.0,10.0,330.0
DaGeDar,DS,2011.0,Action,GameMill Entertainment,90.0,0.0,0.0,10.0,100.0
Barbie and the Three Musketeers,DS,2009.0,Adventure,Activision,120.0,0.0,0.0,10.0,130.0
Port Royale 2,PC,2004.0,Strategy,Ascaron Entertainment GmbH,0.0,30.0,0.0,10.0,40.0
L.A. Noire: The Complete Edition,PC,2011.0,Adventure,Take-Two Interactive,80.0,130.0,0.0,40.0,250.0
White Knight Chronicles: Origins,PSP,2011.0,Role-Playing,Sony Computer Entertainment,0.0,40.0,90.0,20.0,150.0
Dino Pets,DS,2009.0,Simulation,Avanquest,50.0,0.0,0.0,0.0,50.0
Smuggler's Run: Warzones,GC,2002.0,Misc,Take-Two Interactive,60.0,20.0,0.0,0.0,80.0
LEGO Batman: The Videogame,DS,2008.0,Action,Warner Bros. Interactive Entertainment,1790.0,1060.0,0.0,290.0,3140.0
Monster Jam,PC,2007.0,Racing,Activision,10.0,0.0,0.0,0.0,10.0
PoPoLoCrois,PSP,2005.0,Role-Playing,Ignition Entertainment,50.0,0.0,0.0,0.0,50.0
Winter Stars,PS3,2011.0,Sports,Deep Silver,10.0,60.0,0.0,20.0,90.0
Snowboarding,PS,2000.0,Sports,Midas Interactive Entertainment,160.0,110.0,0.0,20.0,290.0
Earthworm Jim,GBA,2001.0,Platform,Interplay,200.0,80.0,0.0,10.0,290.0
Need for Speed Underground,GBA,2003.0,Racing,Electronic Arts,210.0,80.0,0.0,10.0,300.0
CV Casting Voice,PS3,2014.0,Adventure,Namco Bandai Games,0.0,0.0,20.0,0.0,20.0
Resident Evil Zero,GC,2002.0,Action,Capcom,540.0,270.0,450.0,40.0,1300.0
Dynasty Warriors 4 Empires,PS2,2004.0,Action,Tecmo Koei,0.0,0.0,320.0,0.0,320.0
LEGO The Hobbit,PC,2014.0,Action,Warner Bros. Interactive Entertainment,0.0,40.0,0.0,10.0,50.0
DC Universe Online,PC,2011.0,Role-Playing,Sony Online Entertainment,160.0,60.0,0.0,20.0,240.0
Just Dance Kids 2,PS3,2011.0,Misc,Ubisoft,100.0,100.0,0.0,40.0,240.0
Hulk,PS2,2003.0,Action,Universal Interactive,520.0,410.0,0.0,140.0,1070.0
"Ed, Edd n Eddy: The Mis-Edventures",GC,2005.0,Platform,Midway Games,190.0,50.0,0.0,10.0,250.0
Knack,PS4,2013.0,Platform,Sony Computer Entertainment Europe,430.0,670.0,420.0,150.0,1670.0
Disney Infinity 3.0,XOne,2015.0,Action,Disney Interactive Studios,180.0,100.0,0.0,30.0,310.0
Challenge Me: Brain Puzzles 2,Wii,2010.0,Puzzle,O-Games,0.0,60.0,0.0,10.0,70.0
Punch-Out!!,Wii,2007.0,Sports,Nintendo,20.0,220.0,50.0,0.0,290.0
Quiz Magic Academy DS,DS,2008.0,Misc,Konami Digital Entertainment,0.0,0.0,320.0,0.0,320.0
Madden NFL 11,PSP,2010.0,Sports,Electronic Arts,350.0,0.0,0.0,30.0,380.0
Michael Jackson: The Experience,PSV,2011.0,Misc,Ubisoft,50.0,40.0,0.0,20.0,110.0
Dragon Quest & Final Fantasy in Itadaki Street Portable,PSP,2006.0,Misc,Square Enix,0.0,0.0,110.0,0.0,110.0
Nicktoons: Unite!,GC,2005.0,Adventure,THQ,270.0,70.0,0.0,10.0,350.0
Monsters vs. Aliens,DS,2009.0,Action,Activision,330.0,130.0,0.0,50.0,510.0
Negima!? Dream Tactic Yumemiru Otome Princess,PS2,2007.0,Strategy,Konami Digital Entertainment,0.0,0.0,30.0,0.0,30.0
Die Hard Trilogy,PS,1996.0,Shooter,Fox Interactive,850.0,580.0,0.0,100.0,1530.0
Wave Rally,PS2,2001.0,Racing,Eidos Interactive,130.0,100.0,0.0,30.0,260.0
Animal Kingdom: Wildlife Expedition,Wii,2009.0,Adventure,Natsume,70.0,0.0,0.0,10.0,80.0
Battlezone: Rise of the Black Dogs,N64,2000.0,Strategy,Crave Entertainment,60.0,10.0,0.0,0.0,70.0
Conflict: Denied Ops,PS3,2008.0,Shooter,Eidos Interactive,50.0,100.0,0.0,30.0,180.0
Racing Lagoon,PS,1999.0,Racing,Square,0.0,0.0,150.0,10.0,160.0
NHL 14,PS3,2013.0,Sports,Electronic Arts,280.0,190.0,0.0,90.0,560.0
The Legend of Zelda: Oracle of Seasons,GB,2001.0,Adventure,Nintendo,870.0,520.0,410.0,60.0,1860.0
"Crouching Tiger, Hidden Dragon",XB,2003.0,Action,Ubisoft,10.0,0.0,0.0,0.0,10.0
Twisted Metal 4,PS,1999.0,Racing,989 Studios,1070.0,160.0,0.0,40.0,1270.0
Shonen Jump's Yu-Gi-Oh! GX Card Almanac,DS,2008.0,Misc,Konami Digital Entertainment,0.0,0.0,20.0,0.0,20.0
Ikki Tousen: Xross Impact,PSP,2010.0,Action,Marvelous Interactive,0.0,0.0,60.0,0.0,60.0
Puzzle Star Sweep,PS,1997.0,Puzzle,Midas Interactive Entertainment,10.0,10.0,0.0,0.0,20.0
You Don't Know Jack,X360,2011.0,Misc,THQ,190.0,0.0,0.0,10.0,200.0
Asterix & Obelix: Kick Buttix,PS2,2004.0,Action,Atari,20.0,10.0,0.0,0.0,30.0
Nicola Kanshuu: Model * Oshare Audition 2,3DS,2011.0,Action,Alchemist,0.0,0.0,60.0,0.0,60.0
Outlaw Golf,XB,2002.0,Sports,TDK Mediactive,220.0,60.0,0.0,10.0,290.0
The Guided Fate Paradox,PS3,2013.0,Role-Playing,Nippon Ichi Software,0.0,0.0,60.0,0.0,60.0
Sherlock Holmes: Secret of The Silver Earring,Wii,2010.0,Adventure,Focus Home Interactive,0.0,40.0,0.0,10.0,50.0
Line Rider 2: Unbound,DS,2008.0,Puzzle,Deep Silver,70.0,0.0,0.0,10.0,80.0
Jikkyou Powerful Pro Yakuu '94,SNES,1994.0,Sports,Konami Digital Entertainment,0.0,0.0,410.0,0.0,410.0
MLB 2004,PS2,2003.0,Sports,Sony Computer Entertainment,320.0,250.0,0.0,80.0,650.0
Kanuchi: Shiroki Tsubasa no Shou,PS2,2008.0,Adventure,Idea Factory,0.0,0.0,40.0,0.0,40.0
Medal of Honor: Rising Sun,XB,2003.0,Shooter,Electronic Arts,760.0,360.0,0.0,50.0,1170.0
NBA Live 99,PS,1997.0,Sports,Electronic Arts,1130.0,50.0,0.0,30.0,1210.0
Ridge Racer Unbounded,X360,2012.0,Racing,Namco Bandai Games,50.0,50.0,0.0,10.0,110.0
Peter Jackson's King Kong: The Official Game of the Movie,PSP,2005.0,Action,Ubisoft,160.0,10.0,0.0,20.0,190.0
Doctor Lautrec and the Forgotten Knights,3DS,2011.0,Adventure,Konami Digital Entertainment,70.0,50.0,30.0,10.0,160.0
Hoppechan: Tsukutte! Asonde! Punipuni Town!!,3DS,2013.0,Action,Nippon Columbia,0.0,0.0,150.0,0.0,150.0
My Boyfriend,DS,2008.0,Simulation,DTP Entertainment,100.0,0.0,0.0,10.0,110.0
Guilty Gear XX Accent Core,PS2,2007.0,Fighting,505 Games,0.0,0.0,40.0,0.0,40.0
Pac-Man Fever,GC,2001.0,Misc,Sony Computer Entertainment,210.0,60.0,0.0,10.0,280.0
Mr. Do!,2600,1982.0,Action,Coleco,260.0,20.0,0.0,0.0,280.0
Stadium Games,GBA,2003.0,Sports,Ignition Entertainment,30.0,10.0,0.0,0.0,40.0
Grisaia no Kajitsu: La Fruit de la Grisaia,PSP,2013.0,Adventure,Prototype,0.0,0.0,10.0,0.0,10.0
Real Time Conflict: Shogun Empires,DS,2005.0,Strategy,Namco Bandai Games,60.0,0.0,0.0,0.0,60.0
Triggerheart Exelica,DC,2007.0,Shooter,Warashi,0.0,0.0,20.0,0.0,20.0
Angry Birds,PC,2011.0,Puzzle,Focus Home Interactive,0.0,180.0,0.0,50.0,230.0
Extreme Pinball,PS,1995.0,Misc,Electronic Arts,180.0,120.0,0.0,20.0,320.0
Freekstyle,GC,2002.0,Racing,Electronic Arts,70.0,20.0,0.0,0.0,90.0
Street Hoops,GC,2002.0,Sports,Activision,90.0,20.0,0.0,0.0,110.0
Plants vs. Zombies: Garden Warfare,PC,2014.0,Shooter,Electronic Arts,0.0,20.0,0.0,0.0,20.0
Captain Tsubasa J: The Way to World Youth,SNES,1995.0,Sports,Namco Bandai Games,0.0,0.0,30.0,0.0,30.0
Spider-Man 3,DS,2007.0,Platform,Activision,410.0,20.0,0.0,40.0,470.0
